# OPPS TRACKER - COMPLETE PLAYER DATABASE
# Generated: 02/09/2025, 02:10:15
# Discord Bot: OPPS TRACKER
# Total Players: 875
#
# DATABASE STATISTICS:
# - Total Players: 875
# - Royalty RP Only: 566
# - Horizon Only: 301
# - Both Servers: 8
# - Currently Tracked: 4
#
# FORMAT: PlayerName [Server(s)] {TrackingStatus} | First Seen | Last Seen | Total Sightings
# ========================================================================================

Elmo [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 1
Ember [Horizon] {TRACKED: Club Members & Associates} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 184
Emerald [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 19/08/2025 | Sightings: 645
emi [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
Emily [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
Ems96 [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 23/08/2025 | Sightings: 248
EnbyStone [Horizon] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 275
EnergieNB [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 23/08/2025 | Sightings: 196
Envy_Sinister429 [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 451
Eric Streetglide [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 367
Ericilius [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 02/09/2025 | Sightings: 444
Erroll [Royalty] {Not Tracked} | First: 19/08/2025 | Last: 19/08/2025 | Sightings: 439
Evie [Royalty] {Not Tracked} | First: 23/08/2025 | Last: 23/08/2025 | Sightings: 4
EVILDUNCEPUPPY [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 19/08/2025 | Sightings: 628
ex [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 23
eyesofisaiah [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 19/08/2025 | Sightings: 86
𝙁𝙖𝙙𝙚𝙙 [Royalty] {Not Tracked} | First: 02/09/2025 | Last: 02/09/2025 | Sightings: 281
Falsire [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 23/08/2025 | Sightings: 205
